t,beta1,r1,sigma
14/1/2021,0.097094743,0.055655168,0.05
15/1/2021,0.097094743,0.055655168,0.05
16/1/2021,0.097094743,0.055655168,0.05
17/1/2021,0.097094743,0.055655168,0.05
18/1/2021,0.097094743,0.055655168,0.05
19/1/2021,0.097094743,0.055655168,0.05
20/1/2021,0.097094743,0.055655168,0.05
21/1/2021,0.097094743,0.055655168,0.05
22/1/2021,0.097094743,0.055655168,0.05
23/1/2021,0.097094743,0.055655168,0.05
24/1/2021,0.083486914,0.081943882,0.05
25/1/2021,0.083486914,0.081943882,0.05
26/1/2021,0.083486914,0.081943882,0.05
27/1/2021,0.083486914,0.081943882,0.05
28/1/2021,0.083486914,0.081943882,0.05
29/1/2021,0.083486914,0.081943882,0.05
30/1/2021,0.083486914,0.081943882,0.05
31/1/2021,0.081616964,0.072407689,0.05
1/2/2021,0.081616964,0.072407689,0.05
2/2/2021,0.081616964,0.072407689,0.05
3/2/2021,0.081616964,0.072407689,0.05
4/2/2021,0.081616964,0.072407689,0.05
5/2/2021,0.081616964,0.072407689,0.05
6/2/2021,0.081616964,0.072407689,0.05
7/2/2021,0.081616964,0.072407689,0.05
8/2/2021,0.081616964,0.072407689,0.05
9/2/2021,0.081616964,0.072407689,0.05
10/2/2021,0.081616964,0.072407689,0.05
11/2/2021,0.081616964,0.072407689,0.05
12/2/2021,0.081616964,0.072407689,0.05
13/2/2021,0.081616964,0.072407689,0.05
14/2/2021,0.081616964,0.072407689,0.05
15/2/2021,0.081616964,0.072407689,0.05
16/2/2021,0.081616964,0.072407689,0.05
17/2/2021,0.06794724,0.112152688,0.05
18/2/2021,0.06794724,0.112152688,0.05
19/2/2021,0.06794724,0.112152688,0.05
20/2/2021,0.06794724,0.112152688,0.05
21/2/2021,0.06794724,0.112152688,0.05
22/2/2021,0.06794724,0.112152688,0.05
23/2/2021,0.06794724,0.112152688,0.05
24/2/2021,0.06794724,0.112152688,0.05
25/2/2021,0.06794724,0.112152688,0.05
26/2/2021,0.06794724,0.112152688,0.05
27/2/2021,0.080144343,0.110624066,0.05
28/2/2021,0.080144343,0.110624066,0.05
1/3/2021,0.080144343,0.110624066,0.05
2/3/2021,0.080144343,0.110624066,0.05
3/3/2021,0.080144343,0.110624066,0.05
4/3/2021,0.080144343,0.110624066,0.05
5/3/2021,0.080144343,0.110624066,0.05
6/3/2021,0.080144343,0.110624066,0.05
7/3/2021,0.080144343,0.110624066,0.05
8/3/2021,0.080144343,0.110624066,0.05
9/3/2021,0.080144343,0.110624066,0.05
10/3/2021,0.080144343,0.110624066,0.05
11/3/2021,0.080144343,0.110624066,0.05
12/3/2021,0.080144343,0.110624066,0.05
13/3/2021,0.080144343,0.110624066,0.05
14/3/2021,0.080144343,0.110624066,0.05
15/3/2021,0.080144343,0.110624066,0.05
16/3/2021,0.080144343,0.110624066,0.05
17/3/2021,0.080144343,0.110624066,0.05
18/3/2021,0.080144343,0.110624066,0.05
19/3/2021,0.080144343,0.110624066,0.05
20/3/2021,0.080144343,0.110624066,0.05
21/3/2021,0.095677908,0.092033936,0.05
22/3/2021,0.095677908,0.092033936,0.05
23/3/2021,0.095677908,0.092033936,0.05
24/3/2021,0.095677908,0.092033936,0.05
25/3/2021,0.095677908,0.092033936,0.05
26/3/2021,0.095677908,0.092033936,0.05
27/3/2021,0.095677908,0.092033936,0.05
28/3/2021,0.095677908,0.092033936,0.05
29/3/2021,0.095677908,0.092033936,0.05
30/3/2021,0.095677908,0.092033936,0.05
31/3/2021,0.095677908,0.092033936,0.05
1/4/2021,0.095677908,0.092033936,0.05
2/4/2021,0.095677908,0.092033936,0.05
3/4/2021,0.095677908,0.092033936,0.05
4/4/2021,0.095677908,0.092033936,0.05
5/4/2021,0.095677908,0.092033936,0.05
6/4/2021,0.095677908,0.092033936,0.05
7/4/2021,0.095677908,0.092033936,0.05
8/4/2021,0.095677908,0.092033936,0.05
9/4/2021,0.095677908,0.092033936,0.05
10/4/2021,0.095677908,0.092033936,0.05
11/4/2021,0.095677908,0.092033936,0.05
12/4/2021,0.095677908,0.092033936,0.05
13/4/2021,0.095677908,0.092033936,0.05
14/4/2021,0.095677908,0.092033936,0.05
15/4/2021,0.119103849,0.088412047,0.05
16/4/2021,0.119103849,0.088412047,0.05
17/4/2021,0.119103849,0.088412047,0.05
18/4/2021,0.119103849,0.088412047,0.05
19/4/2021,0.119103849,0.088412047,0.05
20/4/2021,0.119103849,0.088412047,0.05
21/4/2021,0.119103849,0.088412047,0.05
22/4/2021,0.119103849,0.088412047,0.05
23/4/2021,0.119103849,0.088412047,0.05
24/4/2021,0.119103849,0.088412047,0.05
25/4/2021,0.119103849,0.088412047,0.05
26/4/2021,0.119103849,0.088412047,0.05
27/4/2021,0.119103849,0.088412047,0.05
28/4/2021,0.119103849,0.088412047,0.05
29/4/2021,0.119103849,0.088412047,0.05
30/4/2021,0.111487575,0.077816651,0.05
1/5/2021,0.111487575,0.077816651,0.05
2/5/2021,0.111487575,0.077816651,0.05
3/5/2021,0.111487575,0.077816651,0.05
4/5/2021,0.111487575,0.077816651,0.05
5/5/2021,0.111487575,0.077816651,0.05
6/5/2021,0.111487575,0.077816651,0.05
7/5/2021,0.111487575,0.077816651,0.05
8/5/2021,0.111487575,0.077816651,0.05
9/5/2021,0.111617738,0.08701947,0.05
10/5/2021,0.111617738,0.08701947,0.05
11/5/2021,0.111617738,0.08701947,0.05
12/5/2021,0.111617738,0.08701947,0.05
13/5/2021,0.111617738,0.08701947,0.05
14/5/2021,0.113729398,0.082139086,0.05
15/5/2021,0.113729398,0.082139086,0.05
16/5/2021,0.113729398,0.082139086,0.05
17/5/2021,0.113729398,0.082139086,0.05
18/5/2021,0.113729398,0.082139086,0.05
19/5/2021,0.113729398,0.082139086,0.05
20/5/2021,0.113729398,0.082139086,0.05
21/5/2021,0.113729398,0.082139086,0.05
22/5/2021,0.113729398,0.082139086,0.05
23/5/2021,0.113729398,0.082139086,0.05
24/5/2021,0.10743791,0.074338272,0.05
25/5/2021,0.10743791,0.074338272,0.05
26/5/2021,0.10743791,0.074338272,0.05
27/5/2021,0.10743791,0.074338272,0.05
28/5/2021,0.10743791,0.074338272,0.05
29/5/2021,0.10743791,0.074338272,0.05
30/5/2021,0.10743791,0.074338272,0.05
31/5/2021,0.10743791,0.074338272,0.05
1/6/2021,0.10743791,0.074338272,0.05
2/6/2021,0.10743791,0.074338272,0.05
