t,beta1,r1,d1,gamma,sigma
30/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
31/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
1/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
2/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
3/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
4/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
5/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
6/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
7/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
8/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
9/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
10/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
11/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
12/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
13/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
14/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
15/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
16/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
17/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
18/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
19/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
20/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
21/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
22/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
23/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
24/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
25/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
26/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
27/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
28/8/2020,0.067237842,0.021275632,0.000185995,0.000103464,0.05
29/8/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
30/8/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
31/8/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
1/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
2/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
3/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
4/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
5/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
6/9/2020,0.060133043,0.039841211,0.000293749,0.000101524,0.05
7/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
8/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
9/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
10/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
11/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
12/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
13/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
14/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
15/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
16/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
17/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
18/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
19/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
20/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
21/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
22/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
23/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
24/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
25/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
26/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
27/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
28/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
29/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
30/9/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
1/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
2/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
3/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
4/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
5/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
6/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
7/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
8/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
9/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
10/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
11/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
12/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
13/10/2020,0.079597043,0.02217664,0.000135966,0.000100134,0.05
14/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
15/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
16/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
17/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
18/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
19/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
20/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
21/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
22/10/2020,0.077110546,0.011388465,0.000339802,0.000107311,0.05
23/10/2020,0.053399784,0.016740277,0.000327379,9.76E-05,0.05
