date,cases_recovered,cases_active,deaths_total,icu_covid,vent_covid,susceptible
28/12/2020,849974,127704,26735,11002,1475,58889471
29/12/2020,858456,126344,27071,11826,1553,58882013
30/12/2020,867597,126286,27568,12690,1751,58872433
31/12/2020,879671,131457,28033,13300,1863,58854723
1/1/2021,887701,141391,28469,13205,1881,58836323
2/1/2021,897704,147296,28887,12871,1808,58819997
3/1/2021,903679,156035,29175,12862,1798,58804995
4/1/2021,911573,159598,29577,13174,1766,58793136
5/1/2021,920879,162459,30011,13211,1802,58780535
6/1/2021,929239,167996,30524,13211,1802,58766125
7/1/2021,938216,180007,31368,13487,1847,58744293
8/1/2021,947919,190862,31809,13487,1847,58723294
9/1/2021,956712,203433,32425,14995,2054,58701314
10/1/2021,966368,214984,32824,15163,2085,58679708
11/1/2021,973265,225169,33163,15969,2125,58662287
12/1/2021,1019123,193941,33579,15969,2125,58647241
13/1/2021,1030930,194484,34334,16600,2270,58634136
14/1/2021,1049740,193423,35140,16896,2313,58615581
15/1/2021,1062690,198264,35852,17147,2421,58597078
16/1/2021,1083978,191241,36467,17222,2437,58582198
17/1/2021,1098441,190367,36851,17047,2409,58568225
18/1/2021,1117452,183369,37105,16934,2368,58555958
19/1/2021,1144857,164630,37449,17285,2407,58546948
20/1/2021,1160412,158016,38288,17114,2451,58537168
21/1/2021,1183443,147129,38854,18034,2471,58524458
22/1/2021,1201284,140022,39501,16956,2457,58513077
23/1/2021,1217492,135000,40076,16788,2460,58501316
24/1/2021,1230520,133745,40574,16550,2380,58489045
25/1/2021,1241421,130691,40874,15966,2417,58480898
26/1/2021,1254674,121746,41117,15952,2401,58476347
27/1/2021,1263476,118305,41797,15808,2383,58470306
28/1/2021,1272197,115901,42550,15473,2388,58463236
29/1/2021,1284781,109912,43105,15164,2346,58456086
30/1/2021,1292921,107385,43633,14889,2296,58449945
31/1/2021,1299620,105665,43951,14590,2242,58444648
1/2/2021,1306022,103575,44164,14285,2200,58440123
2/2/2021,1318504,93406,44399,13885,2164,58437575
3/2/2021,1323680,90332,44946,13464,2141,58434926
4/2/2021,1327186,90486,45344,12893,2098,58430868
5/2/2021,1335618,85544,45605,12564,2057,58427117
6/2/2021,1340497,84117,45902,12191,1957,58423368
7/2/2021,1360204,67316,46180,12080,1912,58420184
8/2/2021,1363947,65898,46290,11835,1898,58417749
9/2/2021,1367247,63791,46473,11618,1839,58416373
10/2/2021,1374368,58016,46869,11631,1833,58414631
11/2/2021,1377980,57287,47145,10662,1711,58411472
12/2/2021,1383626,53892,47382,10258,1641,58408984
13/2/2021,1385996,54015,47670,10258,1641,58406203
14/2/2021,1388321,53921,47821,10075,1562,58403821
15/2/2021,1391155,52753,47899,10001,1518,58402077
16/2/2021,1396951,47864,48094,9666,1501,58400975
17/2/2021,1399829,45977,48313,9571,1464,58399765
18/2/2021,1403214,44747,48478,9172,1414,58397445
19/2/2021,1406907,43151,48708,9013,1379,58395118
20/2/2021,1409553,42265,48859,8906,1352,58393207
21/2/2021,1412015,41412,48940,8719,1327,58391517
22/2/2021,1413566,41177,49053,8662,1300,58390088
23/2/2021,1419459,35979,49150,8539,1291,58389296
24/2/2021,1422622,33551,49413,8299,1257,58388298
25/2/2021,1424401,33524,49523,8107,1213,58386436
26/2/2021,1426417,33040,49667,7892,1172,58384760
27/2/2021,1429047,31947,49784,7637,1129,58383106
28/2/2021,1430259,32025,49941,7392,1088,58381659
1/3/2021,1431336,32064,49993,7343,1056,58380491
2/3/2021,1433320,30562,50077,7216,1060,58379925
3/3/2021,1434772,29772,50271,6971,1031,58379069
4/3/2021,1436010,29886,50366,6433,990,58377622
5/3/2021,1437050,30154,50462,6257,951,58376218
6/3/2021,1439515,28898,50566,6119,925,58374905
7/3/2021,1440874,28685,50647,6105,914,58373678
8/3/2021,1442045,28345,50678,5992,900,58372816
9/3/2021,1444282,26621,50803,5817,910,58372178
10/3/2021,1445979,25812,50906,5314,884,58371187
11/3/2021,1447503,25656,51015,5150,846,58369710
12/3/2021,1449654,24884,51110,5009,818,58368236
13/3/2021,1452988,22706,51179,4943,804,58367011
14/3/2021,1454290,22863,51261,4853,774,58365470
15/3/2021,1455325,22769,51326,4809,750,58364464
16/3/2021,1458001,20611,51421,4723,760,58363851
17/3/2021,1459056,20350,51560,4150,651,58362918
18/3/2021,1459894,20969,51634,4150,651,58361387
19/3/2021,1461196,21041,51724,4161,644,58359923
20/3/2021,1462110,21278,52035,4088,654,58358461
21/3/2021,1463089,21630,52082,4032,662,58357083
22/3/2021,1463953,21788,52111,4032,662,58356032
23/3/2021,1465204,21051,52196,4051,673,58355433
24/3/2021,1466595,20115,52251,4051,673,58354923
25/3/2021,1467254,20383,52372,4025,673,58353875
26/3/2021,1469565,19463,52535,4029,651,58352321
27/3/2021,1471164,19313,52602,3995,654,58350805
28/3/2021,1471899,19919,52648,4031,646,58349418
29/3/2021,1472645,20123,52663,3936,645,58348453
30/3/2021,1473588,19681,52710,3936,645,58347905
31/3/2021,1474319,19628,52788,3822,666,58347149
1/4/2021,1474826,20485,52846,3752,646,58345727
2/4/2021,1475398,21156,52897,3761,647,58344433
3/4/2021,1476605,21173,52946,3769,647,58343160
4/4/2021,1477363,21184,52954,3758,646,58342383
